age,gender,sleep_start,sleep_end,sleep_quality,exercise_time,caffeine,screen_time_before_bed,work_hours,productivity_score,mood_score,stress_score,total_sleep
19,Female,23.0,10.1,9,10,190,3,4.0,7,8,3,11.1
21,Male,1.33,7.67,9,10,50,40,4.0,6,8,6,6.34
32,Male,23.18,7.0,7,180,60,20,5.0,7,8,7,7.82
21,Male,6.0,13.0,7,0,50,90,6.5,5,6,4,7.0
21,Female,2.0,10.0,6,10,50,40,3.0,3,6,4,8.0
22,Male,3.0,12.33,8,0,0,3,7.0,10,10,3,9.33
22,Male,0.0,9.0,10,0,0,60,8.0,10,10,10,9.0
21,Male,0.0,9.0,6,0,0,270,3.0,8,9,1,9.0
18,Female,21.5,6.17,8,0,230,3,8.0,8,6,6,8.67
30,Female,23.0,7.25,8,0,400,120,7.0,8,7,3,8.25
